X,Y,Z,HoleID,Fe
1073.659524,4558.570585,1078.026331,FD00164,63.5455
1071.242824,4558.699458,1068.323610,FD00164,61.9038
1015.662930,4558.915378,834.976749,FD00164,60.9835
1013.159601,4558.196268,825.321918,FD00164,64.5498
1010.616364,4557.426444,815.681434,FD00164,64.67
1008.038155,4556.594633,806.055434,FD00164,62.597
553.276322,3415.522937,926.575102,FD00173,64.63
554.982830,3415.057747,906.653512,FD00173,61.0183
555.894776,3414.811366,896.698282,FD00173,65.356
556.829300,3414.448007,886.748724,FD00173,68.11
557.762736,3413.973518,876.803786,FD00173,68.11
558.766507,3413.380317,866.872008,FD00173,66.4538
559.776736,3412.779533,856.941324,FD00173,53.7192
589.717828,4193.270894,910.363479,FD00185,55.6316
825.922317,5029.322427,958.859739,FD00186,48.8524
821.861426,5029.436955,949.722142,FD00186,47.3302
817.782430,5029.480746,940.592004,FD00186,46.197
1003.204835,5948.124633,834.264804,FD00189,58.852
993.635801,5946.504055,816.777920,FD00189,59.4511
988.713609,5945.691606,808.111274,FD00189,64.8661
929.864883,4618.830130,800.855842,FD00190,60.9632
928.152260,4614.173251,771.269370,FD00190,59.61
915.679903,4472.988539,831.700008,FD00191,61.4042
636.498856,3825.721407,1007.506600,FD00200,54.4891
1076.556075,5612.097389,985.152021,FD00215,67.9751
441.040000,4533.570000,1041.030000,RC00011,49.6629
377.220000,4502.940000,1020.990000,RC00012,66.2557
480.710000,4291.250000,1042.290000,RC00013,66.4153
904.150000,5854.640000,1128.450000,RC00023,65.3111
904.150000,5854.640000,1118.450000,RC00023,68.6343
904.150000,5854.640000,1088.450000,RC00023,66.7045
476.020000,4415.460000,1016.970000,RC00027,66.9204
476.020000,4415.460000,1006.970000,RC00027,67.64
476.020000,4415.460000,996.970000,RC00027,65.6774
779.240000,4317.670000,1002.490000,RC00029,62.5844
779.240000,4317.670000,992.490000,RC00029,66.6914
646.930000,4431.250000,1044.760000,RC00030,66.1334
646.930000,4431.250000,1034.760000,RC00030,62.15
646.930000,4431.250000,1024.760000,RC00030,54.6648
646.930000,4431.250000,1014.760000,RC00030,49.3378
516.770000,4325.050000,1015.450000,RC00031,65.8213
516.770000,4325.050000,1005.450000,RC00031,65.243
874.150000,4224.460000,1008.510000,RC00041,51.5993
874.150000,4224.460000,998.510000,RC00041,55.0992
874.150000,4224.460000,988.510000,RC00041,58.2327
690.450000,4100.400000,1004.720000,RC00044,46.6013
423.720000,4463.860000,987.680000,RC00056,50.0371
661.740000,4048.900000,994.040000,RC00063,67.8035
662.660000,5404.970000,1175.560000,RC00064,66.2923
663.060000,5052.540000,1079.340000,RC00066,54.7368
663.060000,5052.540000,1069.340000,RC00066,54.1218
663.060000,5052.540000,1059.340000,RC00066,54.7001
840.100000,5038.980000,1040.900000,RC00104,67.9703
1041.780000,4389.400000,1037.730000,RC00105,67.4882
1041.780000,4389.400000,1027.730000,RC00105,63.2177
770.570000,5114.660000,1076.130000,RC00111,60.2136
770.570000,5114.660000,1066.130000,RC00111,65.9266
770.570000,5114.660000,1056.130000,RC00111,66.6835
770.570000,5114.660000,1046.130000,RC00111,63.866
770.570000,5114.660000,1036.130000,RC00111,60.9607
755.460000,5598.770000,1182.120000,RC00115,53.4506
755.460000,5598.770000,1172.120000,RC00115,53.9465
643.130000,4374.180000,1044.280000,RC00126,52.5322
625.310000,5429.030000,1130.780000,RC00134,62.7663
625.310000,5429.030000,1120.780000,RC00134,56.2453
625.310000,5429.030000,1110.780000,RC00134,49.3835
962.120000,5884.970000,1124.680000,RC00166,48.5933
962.120000,5884.970000,1114.680000,RC00166,45.6737
962.120000,5884.970000,1104.680000,RC00166,46.579
962.120000,5884.970000,1094.680000,RC00166,46.8237
962.120000,5884.970000,1084.680000,RC00166,46.863
962.120000,5884.970000,1054.680000,RC00166,51.5417
962.120000,5884.970000,1044.680000,RC00166,57.1324
962.120000,5884.970000,1034.680000,RC00166,55.5519
914.730000,5897.350000,1122.280000,RC00167,55.8057
914.730000,5897.350000,1112.280000,RC00167,59.1682
914.730000,5897.350000,1102.280000,RC00167,56.5842
914.730000,5897.350000,1092.280000,RC00167,50.5787
743.320000,5569.610000,1171.600000,RC00182,56.1851
309.475183,4823.719151,1047.920758,RC00200,53.3244
306.222378,4824.776052,1038.523832,RC00200,53.4245
806.230000,4315.000000,997.090000,RC00208,67.1232
